link,id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,Unnamed: 31,Unnamed: 32
https://m.weibo.cn/detail/4889644888227955,4889644888227955,MBC4wywsX,三只松鼠夏威夷果溯源纪录片正式上线啦！主人福利也不能少详情请看↓↓↓有一群人，他们见证了夏威夷果从一颗种子到扎根云南的漫山遍野也是他们，一直深耕于夏威夷果在我国的科学化种植和自动化加工处理他们是最懂#夏威夷果的中国味#的一群人他们也是夏威夷果中国化的领航者他们是松鼠人也是千千万万为优质坚果而努力的普通人如今，三只松鼠联合伙伴在云南临沧等6个地区建立了夏果种植基地并且在安徽无为打造了现代化坚果自主制造示范工厂他们坚信，路虽难，行则将至一颗小小的坚果如何漂洋过海成为“致富果”？让我们打开这本夏威夷果的#宝藏坚果图鉴#一起来见证这30年间，一颗坚果在中国的生长关注@三只松鼠 并转发本条微博📣抽50位主人送夏威夷果📣10位主人送年度新品零食📣10位主人送耳机✅转发每增加100，抽2位主人送【松鼠玩偶周边】📣评论抽20位主人送松鼠盲盒！✅评论每增加100，抽1位主人送【骨传导耳机】📣点赞抽20位主人送玩偶！✅点赞每增加200，抽2位主人送【夏威夷果】#三只松鼠# 我们将持续致力于全球优秀坚果中国化种植，为了让更多主人吃到新鲜、营养、健康的优质坚果而不断努力 头条新闻的微博视频,,,"https://f.video.weibocdn.com/o0/xGjZZRMxlx084Bs99vrO01041203vfoX0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1683359960&ssig=q7mdLV12X3&KID=unistore,video",,12/04/2023,三只松鼠超话,993,921,1443,"夏威夷果的中国味,宝藏坚果图鉴,三只松鼠",三只松鼠,12/04/2023 10:14,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4898395271988241,4898395271988241,MFhI38lep,#三只松鼠# 哼，人气这一块阿鼠从来没输过#2023国潮美食新消费大会# 三只松鼠的微博视频 重庆·重庆国际博览中心 ,,,"https://f.video.weibocdn.com/u0/EE7MhDvJgx085dUM6F8c01041200HTtn0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1683359959&ssig=%2BSZHJ5bZut&KID=unistore,video",重庆·重庆国际博览中心,6/05/2023,微博视频号,15,11,2,"三只松鼠,2023国潮美食新消费大会",,6/05/2023 13:45,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4898323536023143,4898323536023143,MFfQlpgTt,是#立夏# 是三十几度的风和鼠鼠减不下去的肉 ,,https://wx1.sinaimg.cn/large/98960f80gy1hdlgbtger4j20u01hce2x.jpg,,,6/05/2023,微博网页版,30,35,8,立夏,,6/05/2023 9:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4898149892358928,4898149892358928,MFbkh9TFe,#刷完这条说晚安# 晒晒手机里的美食图哇馋一馋每个看到的人 ,,,,,5/05/2023,微博网页版,36,31,7,刷完这条说晚安,,5/05/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4897991347669683,4897991347669683,MF7cywbez,分鼠对我说，我看起来可爱乖巧其实不完全对#三只松鼠# 因为相处久了就会发现我可爱乖巧风度翩翩还会经常抽奖送坚果 ,,"https://wx1.sinaimg.cn/large/98960f80gy1hdlhf0amskj23i52c34qs.jpg,https://wx1.sinaimg.cn/large/98960f80gy1hdlhf22483j23sj2j1u10.jpg,https://wx1.sinaimg.cn/large/98960f80gy1hdlhf3nfp7j24g02yo4qs.jpg",,,5/05/2023,微博网页版,57,57,8,三只松鼠,,5/05/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4897787503974347,4897787503974347,MF1TMgFUn,#刷完这条说晚安# 求一波重庆美食安利哇阿鼠明天就到重庆参加展会啦美食必须安排上 ,,,,,4/05/2023,微博网页版,39,42,7,刷完这条说晚安,,4/05/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4897689240341960,4897689240341960,MEZli1qXu,#三只松鼠# 燃爆初夏！5月13日—5月15日，#值得买消费嘉年华# 来啦 @什么值得买 请你来北京逛展啦，送你5000元参展基金现场汇聚众多炫酷的潮流品牌和先锋产品，还有超多专享福利关注我们，并转发本条微博， 5月8日抽2位主人送100元JD礼品卡！,,,,,4/05/2023,,49,47,188,"三只松鼠,值得买消费嘉年华",什么值得买,4/05/2023 14:59,False,1823348853.0,什么值得买,4897676040602670.0,MEZ002wMu,这个初夏，小值请你来北京！5000元现金免费拿！#初夏的第一场约会#5月13日—5月15日，#值得买消费嘉年华# 在北京与值友们相见～值得买嘉年华报名通道：网页链接这场集齐潮流品牌、先锋产品的嘉年华活动，能够让你尽情体验时下最IN的生活方式；展会现场好吃、好玩、好看应有尽有，各类精美礼品和专享权益拿到手软。转评赞本条，5月8日抽一名幸运值友来北京参加「值得买消费嘉年华」，并获得参展基金5000元！@微博抽奖助手详情查看海报,,https://wx2.sinaimg.cn/large/6cae1875ly1hdmbcoa7mzj20u0263hdt.jpg,,,4/05/2023,微博网页版,338.0,475.0,3643.0,"初夏的第一场约会,值得买消费嘉年华",微博抽奖助手,4/05/2023 14:07
https://m.weibo.cn/detail/4897676040602670,4897676040602670,MEZ002wMu,这个初夏，小值请你来北京！5000元现金免费拿！#初夏的第一场约会#5月13日—5月15日，#值得买消费嘉年华# 在北京与值友们相见～值得买嘉年华报名通道：网页链接这场集齐潮流品牌、先锋产品的嘉年华活动，能够让你尽情体验时下最IN的生活方式；展会现场好吃、好玩、好看应有尽有，各类精美礼品和专享权益拿到手软。转评赞本条，5月8日抽一名幸运值友来北京参加「值得买消费嘉年华」，并获得参展基金5000元！@微博抽奖助手详情查看海报,,https://wx2.sinaimg.cn/large/6cae1875ly1hdmbcoa7mzj20u0263hdt.jpg,,,4/05/2023,微博网页版,339,475,3643,"初夏的第一场约会,值得买消费嘉年华",微博抽奖助手,4/05/2023 14:07,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4897598765533452,4897598765533452,MEWZmndve,远方有光芒，脚下有力量！#三只松鼠# #五四青年节#快乐 ,,https://wx1.sinaimg.cn/large/98960f80gy1hdlg192fn3j20u01hcdv8.jpg,,,4/05/2023,微博网页版,59,41,6,"三只松鼠,五四青年节",,4/05/2023 9:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4897062728500049,4897062728500049,MEJ2MzFfz,#刷完这条说晚安# 休息会上瘾，可假期却会_____ ,,,,,2/05/2023,微博网页版,33,29,7,刷完这条说晚安,,2/05/2023 21:30,True,,,,,,,,,,,,,,,,,
