link,微博id,微博正文,头条文章url,是否为原创微博,发布时间,点赞数,转发数,评论数
https://m.weibo.cn/detail/Mev1t8Nd7,Mev1t8Nd7,我们正为您直播#2022直击金鸡奖#电影频道联合厦门广电5G+360°融媒体全景直播第3天！金鸡电影论坛演员论坛、创投大会、提名者表彰仪式、鼓浪屿论坛、中国电影科技论坛、新片发布会等金鸡奖各大活动现场直击报道，提名者做客采访，分享影片拍摄幕后故事；#2022星辰大海青年演员优选计划#继续出发！青年演员将在厦门市同安区、龙岩市长汀县展开更多采风创作体验，全新的一天又会发生哪些不一样的经历？更有金鸡奖闭幕式阵容剧透，台前幕后独家亮点揭秘……更多精彩内容，锁定直播，不见不散！  中国电影报道的微博直播                                 ,,True,11/11/2022 10:00,18983,1079,93798
https://m.weibo.cn/detail/Lti9rvSFS,Lti9rvSFS,#断桥改档至暑期上映# 原定于6月2日上映的电影《断·桥》宣布改档至2022暑期上映，具体上映日期待定。影片由李玉执导、方励监制，马思纯、王俊凯、范伟领衔主演，讲述在大桥坍塌后惊现一具人骨，从而牵连出一桩多年前的凶杀案。死者女儿闻晓雨(马思纯 饰)被修车工孟超(王俊凯 饰)告知当年的目击画面，而这一切都牵扯到闻晓雨养父朱方正(范伟 饰)身上。             [组图共2张]      原图                             ,,True,16/05/2022 18:04,44679,6751,90463
https://m.weibo.cn/detail/LEDEdB0b4,LEDEdB0b4,#百花奖红毯探秘# #2022直击百花奖# 电影频道“2022直击百花奖”融媒体全景直播最后一天！我们将一路跟随明星嘉宾从酒店出发，前往红毯场馆，体验独特的红毯设计，穿梭时空隧道，感受中国电影的百年魅力；CCTV6电影频道及全网平台也将实时直播闭幕式暨颁奖典礼，一探百花60年的光影盛会。此外，更有群...全文 ,,True,30/07/2022 9:01,14016,954,90026
https://m.weibo.cn/detail/LeNvs8Nxx,LeNvs8Nxx,#奇迹笨小孩雨中赞歌片段##易烊千玺唱歌暖水瓶当话筒#《奇迹·笨小孩》发布“雨中赞歌”片段，“奇迹小队”在雨中的卡车里化身无实物乐队大声合唱，满满的正能量。影片正在上映中。#奇迹小队好有团魂# @电影奇迹笨小孩  中国电影报道的微博视频  ,,True,10/02/2022 10:19,6222,1143,88036
https://m.weibo.cn/detail/LD9Swe96G,LD9Swe96G,#易烊千玺同时提名百花奖男主男配# #第36届百花奖提名名单#出炉，易烊千玺凭借电影《奇迹•笨小孩》中饰景浩获得最佳男主角提名，同时凭借电影《中国医生》中饰杨小羊获得最佳男配角提名。  [组图共2张] 原图 ,,True,20/07/2022 15:23,1860435,55765,87899
https://m.weibo.cn/detail/Kza5ej9AE,Kza5ej9AE,【直播|#大湾区购物节群星接力公益直播#】我们正在为您全网直播首届“粤港澳大湾区购物节”群星接力公益直播，@陳法蓉 、@陈飞宇Arthur 、@杜江侦察记 、@关晓彤 、@關智斌 、@胡杏儿 、@华晨宇yu 、@黄晓明 、@惠英紅kara 、@李治廷 、@梁漢文edmond 、@林曉峰 、@刘恺威 、@卢靖姗CelinaJade 、@Josh吕方 、@莫华伦 、@任達華 、@王宝强 、王耀庆、@魏大勋 、@謝天華Laughing 、@楊丞琳 、@郑希怡 、@钟镇涛 、@卡布叻_周深 等做客直播互动，讲述中秋故事，“种草”湾区好物，分享湾区体验。锁定直播，不见不散！#湾区升明月# 中国电影报道的微博直播                                 ,,True,21/09/2021 9:49,55286,4817,72783
https://m.weibo.cn/detail/LfCv7qncV,LfCv7qncV,#肖战手绘雪容融为冬奥健儿加油##肖战手绘雪容融#@X玖少年团肖战DAYTOY 手绘雪容融，他还有什么才华是我们不知道的！肖战祝福每位冬奥运动员都能逐梦冰雪，享受比赛，圆梦北京，创造属于自己的辉煌，祝电影频道的观众和全国朋友元宵节快乐！#爱的明信片祝福冬奥健儿#   中国电影报道的微博视频  ,,True,15/02/2022 20:08,638285,173959,61472
https://m.weibo.cn/detail/MelNuw0n0,MelNuw0n0,【直播|#2022直击金鸡奖#融媒体全景直播第二天】我们将在11:00，为您直播2022直击金鸡奖，电影频道联合厦门广电5G+360°融媒体全景直播第二天！第35届金鸡奖正式拉开帷幕，开幕式全程直播，学术峰会、元宇宙AR秀、新片发布会等现场直击，王博学、杨秀措、于慧等提名者做客采访，分享金鸡感悟；...全文 ,,True,10/11/2022 10:31,17504,1525,61327
https://m.weibo.cn/detail/LEkZAopTi,LEkZAopTi,【#2022直击百花奖#】我们正在为您直播“2022直击百花奖”融媒体全景直播，第36届大众电影百花奖今日拉开帷幕，直击开幕式暨百花奖论坛、百花影展、艺术家下基层等主体特色活动，一起进入“百花进行时”！从黄鹤楼出发，沿途打卡武汉长江大桥、武汉车谷、武汉电影公司，夜航长江，一起巡游“两江四岸”...全文 ,,True,28/07/2022 9:31,9369,406,60708
https://m.weibo.cn/detail/M7zQnDPiQ,M7zQnDPiQ,#王俊凯万里归途带你了解真实外交官#在#电影万里归途#的@M观影团 上，王俊凯说，知道电影可以在国庆档上映非常激动，希望大家可以通过电影了解外交官的事迹，外交官不光是在新闻发布会上的光鲜时刻，他们还会经历危险，甚至是枪林弹雨。#万里归途北京首映# 中国电影报道的微博视频  ,,True,26/09/2022 21:24,40419,4434,60614
